Sequence,Step,Predicted_Proportion,Predicted_Increment,Predicted_Cumulative,GroundTruth_Increment,GroundTruth_Cumulative,LSTM_Predicted_TimeDiff,LSTM_Predicted_Cumulative,LSTM_Predicted_TotalTime,TimeDiff_Improvement_Abs,Cumulative_Improvement_Abs,decoded_sourceID,BodyGroup_to,BodyGroup_from,SN,Row_Number,LSTM_Predicted_Increment,Increment_MAE_Transformer,Increment_MAE_LSTM,Increment_Improvement_Pct,Cumulative_MAE_Transformer,Cumulative_MAE_LSTM,Cumulative_Improvement_Pct
0,1,0.042931177,11.548487,23.160145,14.0,14.0,20.715727,11.888206,,-4.264213852416992,2.444418147583008,MRI_MSR_104,SHOULDER,KNEE,175651,,11.888206,2.4515130000000003,2.1117944717407227,13.8575046617855,9.160145,2.1117944717407227,76.94584013964055
0,1,0.058613934,15.181008,30.692078,42.0,42.0,7.9831114,28.119171,,-7.197896618469237,-22.70896661846924,MRI_MSR_104,HEAD,HEAD,175974,,16.230967,26.818992,25.769033432006836,3.9149814728054113,11.307922000000001,13.880828857421875,-22.753135876086457
0,1,0.051670935,15.862977,32.038822,40.0,40.0,18.76267,42.427532,,2.8996935169677727,-13.27615148303223,MRI_MSR_104,SHOULDER,SHOULDER,182625,1.0,14.30836,24.137023,25.69163990020752,-6.440798023051643,7.961177999999997,2.427532196044922,69.50787689906038
0,2,0.058657717,15.1923485,45.884426,10.0,52.0,8.144967,58.670624,,3.337315579162597,-29.75634753930664,MRI_FRR_257,HEAD,HEAD,175974,,16.243092,5.1923485,6.243091583251953,-20.23637441230984,6.115574000000002,6.670623779296875,-9.076004628459609
0,2,0.051957875,15.951068,47.98989,5.0,45.0,18.883,73.05844,,-2.9319314201660163,-4.364441970214841,MRI_FRR_2,SHOULDER,SHOULDER,182625,2.0,14.387816,10.951068,9.387816429138184,14.27487776408489,2.9898900000000026,28.058441162109375,-838.4439281080357
0,2,0.043497976,11.700955,34.8611,1.0,15.0,20.726475,85.1036,,-9.02551976196289,-6.58109970703125,MRI_FRR_257,SHOULDER,KNEE,175651,,12.04516,10.700955,11.045160293579102,-3.2165848148983067,19.8611,70.10359954833984,-252.96937001646356
0,3,0.043867406,11.800332,46.66143,9.0,24.0,20.726446,97.25106,,-8.9261141517334,-15.507217766113278,MRI_MSR_34,SHOULDER,KNEE,175651,,12.14746,2.800331999999999,3.1474599838256836,-12.395958187303666,22.661430000000003,73.25106048583984,-223.24112152604596
0,3,0.058133285,15.056521,60.94095,10.0,62.0,8.1666565,113.34893,,3.223177494140625,-36.64621504516602,MRI_FRR_264,HEAD,HEAD,175974,,16.097868,5.056521,6.097867965698242,-20.594139047345834,1.0590499999999992,51.34893035888672,-4748.58414228665
0,3,0.05278735,16.205715,64.1956,7.0,52.0,18.902866,127.96644,,-2.697151363525389,7.647065606689452,MRI_FRR_257,SHOULDER,SHOULDER,182625,3.0,14.61751,9.205715000000001,7.617509841918945,17.252382439398307,12.195599999999999,75.96643829345703,-522.9003763115963
0,4,0.052797448,16.208817,80.40442,16.0,68.0,18.912868,142.58675,,-2.70405149975586,4.943017106933596,MRI_FRR_264,SHOULDER,SHOULDER,182625,4.0,14.620306,0.2088169999999998,1.3796939849853516,-560.7191871281326,12.404420000000002,74.58674621582031,-501.2916864780482
