sourceID_decoded,BodyGroup_from_decoded,BodyGroup_to_decoded,Predicted_timediff
MRI_MSR_104,ABDOMEN,ABDOMEN,0.0
MRI_MSR_21,ABDOMEN,ABDOMEN,23.925039291381836
MRI_FRR_257,ABDOMEN,ABDOMEN,15.668550491333008
MRI_FRR_264,ABDOMEN,ABDOMEN,16.902664184570312
MRI_FRR_3,ABDOMEN,ABDOMEN,18.10358428955078
MRI_CCS_11,ABDOMEN,ABDOMEN,11.454708099365234
MRI_FRR_3,ABDOMEN,ABDOMEN,18.10358428955078
MRI_FRR_3,ABDOMEN,ABDOMEN,18.10358428955078
MRI_CCS_11,ABDOMEN,ABDOMEN,11.454708099365234
MRI_CCS_11,ABDOMEN,ABDOMEN,11.454708099365234
MRI_CCS_11,ABDOMEN,ABDOMEN,11.454708099365234
MRI_FRR_3,ABDOMEN,ABDOMEN,18.10358428955078
MRI_FRR_3,ABDOMEN,ABDOMEN,18.10358428955078
MRI_FRR_3,ABDOMEN,ABDOMEN,18.10358428955078
MRI_FRR_3,ABDOMEN,ABDOMEN,18.10358428955078
MRI_FRR_3,ABDOMEN,ABDOMEN,18.10358428955078
MRI_FRR_34,ABDOMEN,ABDOMEN,19.284305572509766
MRI_MSR_100,ABDOMEN,ABDOMEN,21.61375617980957
MRI_MSR_104,ABDOMEN,ABDOMEN,0.0
MRI_MSR_21,ABDOMEN,ABDOMEN,23.925039291381836
MRI_FRR_257,ABDOMEN,ABDOMEN,15.668550491333008
MRI_FRR_264,ABDOMEN,ABDOMEN,16.902664184570312
MRI_FRR_3,ABDOMEN,ABDOMEN,18.10358428955078
MRI_CCS_11,ABDOMEN,ABDOMEN,11.454708099365234
MRI_FRR_3,ABDOMEN,ABDOMEN,18.10358428955078
MRI_CCS_11,ABDOMEN,ABDOMEN,11.454708099365234
MRI_CCS_11,ABDOMEN,ABDOMEN,11.454708099365234
MRI_CCS_11,ABDOMEN,ABDOMEN,11.454708099365234
MRI_CCS_11,ABDOMEN,ABDOMEN,11.454708099365234
MRI_MSR_100,ABDOMEN,ABDOMEN,21.61375617980957
MRI_MSR_104,ABDOMEN,ABDOMEN,0.0
MRI_MSR_21,ABDOMEN,ABDOMEN,23.925039291381836
MRI_FRR_257,ABDOMEN,ABDOMEN,15.668550491333008
MRI_FRR_264,ABDOMEN,ABDOMEN,16.902664184570312
MRI_FRR_3,ABDOMEN,ABDOMEN,18.10358428955078
MRI_CCS_11,ABDOMEN,ABDOMEN,11.454708099365234
MRI_FRR_3,ABDOMEN,ABDOMEN,18.10358428955078
MRI_FRR_3,ABDOMEN,ABDOMEN,18.10358428955078
MRI_FRR_3,ABDOMEN,ABDOMEN,18.10358428955078
MRI_FRR_3,ABDOMEN,ABDOMEN,18.10358428955078
MRI_CCS_11,ABDOMEN,ABDOMEN,11.454708099365234
MRI_CCS_11,ABDOMEN,ABDOMEN,11.454708099365234
MRI_CCS_11,ABDOMEN,ABDOMEN,11.454708099365234
MRI_CCS_11,ABDOMEN,ABDOMEN,11.454708099365234
MRI_FRR_3,ABDOMEN,ABDOMEN,18.10358428955078
MRI_FRR_3,ABDOMEN,ABDOMEN,18.10358428955078
MRI_FRR_3,ABDOMEN,ABDOMEN,18.10358428955078
MRI_FRR_3,ABDOMEN,ABDOMEN,18.10358428955078
MRI_FRR_3,ABDOMEN,ABDOMEN,18.10358428955078
MRI_FRR_264,ABDOMEN,ABDOMEN,16.902664184570312
MRI_FRR_3,ABDOMEN,ABDOMEN,18.10358428955078
MRI_FRR_34,ABDOMEN,ABDOMEN,19.284305572509766
MRI_MSR_104,ABDOMEN,ABDOMEN,0.0
MRI_MSR_21,ABDOMEN,ABDOMEN,23.925039291381836
MRI_FRR_257,ABDOMEN,ABDOMEN,15.668550491333008
MRI_FRR_264,ABDOMEN,ABDOMEN,16.902664184570312
MRI_FRR_3,ABDOMEN,ABDOMEN,18.10358428955078
MRI_CCS_11,ABDOMEN,ABDOMEN,11.454708099365234
MRI_FRR_3,ABDOMEN,ABDOMEN,18.10358428955078
MRI_CCS_11,ABDOMEN,ABDOMEN,11.454708099365234
MRI_FRR_3,ABDOMEN,ABDOMEN,18.10358428955078
MRI_FRR_3,ABDOMEN,ABDOMEN,18.10358428955078
MRI_FRR_3,ABDOMEN,ABDOMEN,18.10358238220215
MRI_FRR_3,ABDOMEN,ABDOMEN,18.10358238220215
MRI_FRR_3,ABDOMEN,ABDOMEN,18.10358428955078
MRI_FRR_3,ABDOMEN,ABDOMEN,18.10358428955078
MRI_CCS_11,ABDOMEN,ABDOMEN,11.454708099365234
MRI_FRR_3,ABDOMEN,ABDOMEN,18.10358428955078
MRI_FRR_3,ABDOMEN,ABDOMEN,18.10358428955078
MRI_FRR_3,ABDOMEN,ABDOMEN,18.10358428955078
MRI_FRR_34,ABDOMEN,ABDOMEN,19.284305572509766
MRI_MSR_100,ABDOMEN,ABDOMEN,21.61375617980957
MRI_MSR_104,ABDOMEN,ABDOMEN,0.0
MRI_MSR_21,ABDOMEN,ABDOMEN,23.925039291381836
MRI_FRR_257,ABDOMEN,ABDOMEN,15.668550491333008
MRI_FRR_264,ABDOMEN,ABDOMEN,16.902664184570312
MRI_FRR_3,ABDOMEN,ABDOMEN,18.10358428955078
MRI_CCS_11,ABDOMEN,ABDOMEN,11.454708099365234
MRI_FRR_3,ABDOMEN,ABDOMEN,18.10358428955078
MRI_FRR_3,ABDOMEN,ABDOMEN,18.10358428955078
MRI_FRR_3,ABDOMEN,ABDOMEN,18.10358428955078
MRI_CCS_11,ABDOMEN,ABDOMEN,11.454708099365234
MRI_CCS_11,ABDOMEN,ABDOMEN,11.454708099365234
MRI_CCS_11,ABDOMEN,ABDOMEN,11.454708099365234
MRI_CCS_11,ABDOMEN,ABDOMEN,11.454708099365234
MRI_CCS_11,ABDOMEN,ABDOMEN,11.454708099365234
MRI_MSR_100,ABDOMEN,ABDOMEN,21.61375617980957
MRI_FRR_3,ABDOMEN,ABDOMEN,18.10358428955078
MRI_MSR_104,ABDOMEN,ABDOMEN,0.0
MRI_MSR_21,ABDOMEN,ABDOMEN,23.925039291381836
MRI_FRR_257,ABDOMEN,ABDOMEN,15.668550491333008
MRI_FRR_264,ABDOMEN,ABDOMEN,16.902664184570312
MRI_FRR_3,ABDOMEN,ABDOMEN,18.10358428955078
MRI_CCS_11,ABDOMEN,ABDOMEN,11.454708099365234
MRI_CCS_11,ABDOMEN,ABDOMEN,11.454708099365234
MRI_FRR_3,ABDOMEN,ABDOMEN,18.10358238220215
MRI_FRR_3,ABDOMEN,ABDOMEN,18.10358428955078
MRI_CCS_11,ABDOMEN,ABDOMEN,11.454708099365234
MRI_CCS_11,ABDOMEN,ABDOMEN,11.454708099365234
MRI_CCS_11,ABDOMEN,ABDOMEN,11.454708099365234
MRI_CCS_11,ABDOMEN,ABDOMEN,11.454708099365234
MRI_MSR_100,ABDOMEN,ABDOMEN,21.61375617980957
MRI_MSR_104,ABDOMEN,ABDOMEN,0.0
MRI_MSR_21,ABDOMEN,ABDOMEN,23.925039291381836
MRI_FRR_257,ABDOMEN,ABDOMEN,15.668550491333008
MRI_FRR_264,ABDOMEN,ABDOMEN,16.902664184570312
MRI_FRR_3,ABDOMEN,ABDOMEN,18.10358428955078
MRI_CCS_11,ABDOMEN,ABDOMEN,11.454708099365234
MRI_CCS_11,ABDOMEN,ABDOMEN,11.454708099365234
MRI_FRR_3,ABDOMEN,ABDOMEN,18.10358428955078
MRI_FRR_3,ABDOMEN,ABDOMEN,18.10358428955078
MRI_FRR_3,ABDOMEN,ABDOMEN,18.10358428955078
MRI_FRR_3,ABDOMEN,ABDOMEN,18.10358428955078
MRI_CCS_11,ABDOMEN,ABDOMEN,11.454708099365234
MRI_CCS_11,ABDOMEN,ABDOMEN,11.454708099365234
MRI_CCS_11,ABDOMEN,ABDOMEN,11.454708099365234
MRI_CCS_11,ABDOMEN,ABDOMEN,11.454708099365234
MRI_FRR_3,ABDOMEN,ABDOMEN,18.10358428955078
MRI_MSR_100,ABDOMEN,ABDOMEN,21.61375617980957
MRI_MSR_104,ABDOMEN,ABDOMEN,0.0
MRI_MSR_21,ABDOMEN,ABDOMEN,23.925039291381836
MRI_FRR_257,ABDOMEN,ABDOMEN,15.668550491333008
MRI_FRR_264,ABDOMEN,ABDOMEN,16.902664184570312
MRI_FRR_3,ABDOMEN,ABDOMEN,18.10358428955078
MRI_CCS_11,ABDOMEN,ABDOMEN,11.454708099365234
MRI_CCS_11,ABDOMEN,ABDOMEN,11.454708099365234
MRI_FRR_3,ABDOMEN,ABDOMEN,18.10358238220215
MRI_FRR_3,ABDOMEN,ABDOMEN,18.10358238220215
MRI_FRR_3,ABDOMEN,ABDOMEN,18.10358428955078
MRI_CCS_11,ABDOMEN,ABDOMEN,11.454708099365234
MRI_FRR_3,ABDOMEN,ABDOMEN,18.10358428955078
MRI_FRR_3,ABDOMEN,ABDOMEN,18.10358428955078
MRI_CCS_11,ABDOMEN,ABDOMEN,11.454708099365234
MRI_FRR_3,ABDOMEN,ABDOMEN,18.10358428955078
MRI_FRR_3,ABDOMEN,ABDOMEN,18.10358428955078
MRI_FRR_3,ABDOMEN,ABDOMEN,18.10358428955078
MRI_FRR_3,ABDOMEN,ABDOMEN,18.10358428955078
MRI_FRR_3,ABDOMEN,ABDOMEN,18.10358428955078
MRI_FRR_34,ABDOMEN,ABDOMEN,19.284305572509766
MRI_MSR_100,ABDOMEN,ABDOMEN,21.61375617980957
MRI_MSR_104,ABDOMEN,ABDOMEN,0.0
MRI_MSR_21,ABDOMEN,ABDOMEN,23.925039291381836
MRI_FRR_264,ABDOMEN,ABDOMEN,16.902664184570312
MRI_FRR_3,ABDOMEN,ABDOMEN,18.10358428955078
MRI_FRR_3,ABDOMEN,ABDOMEN,18.10358428955078
MRI_CCS_11,ABDOMEN,ABDOMEN,11.454708099365234
MRI_CCS_11,ABDOMEN,ABDOMEN,11.454708099365234
MRI_CCS_11,ABDOMEN,ABDOMEN,11.454708099365234
MRI_FRR_3,ABDOMEN,ABDOMEN,18.10358428955078
MRI_FRR_3,ABDOMEN,ABDOMEN,18.10358428955078
MRI_CCS_11,ABDOMEN,ABDOMEN,11.454708099365234
MRI_CCS_11,ABDOMEN,ABDOMEN,11.454708099365234
MRI_FRR_3,ABDOMEN,ABDOMEN,18.10358428955078
MRI_FRR_3,ABDOMEN,ABDOMEN,18.10358428955078
MRI_FRR_3,ABDOMEN,ABDOMEN,18.10358428955078
MRI_CCS_11,ABDOMEN,ABDOMEN,11.454708099365234
MRI_FRR_3,ABDOMEN,ABDOMEN,18.10358428955078
MRI_FRR_3,ABDOMEN,ABDOMEN,18.10358428955078
