sourceID,BodyGroup_from,BodyGroup_to,timediff,SN
MRI_MSR_104,ABDOMEN,ABDOMEN,1096.7298567298335,182625
MRI_MSR_21,ABDOMEN,ABDOMEN,883.1451359695619,182625
MRI_FRR_257,ABDOMEN,ABDOMEN,1037.5855933071873,182625
MRI_FRR_264,ABDOMEN,ABDOMEN,1669.2034814389374,182625
MRI_FRR_3,ABDOMEN,ABDOMEN,789.8167607033323,182625
MRI_CCS_11,ABDOMEN,ABDOMEN,394.89666279962194,182625
MRI_FRR_3,ABDOMEN,ABDOMEN,1020.4414064545982,182625
MRI_FRR_3,ABDOMEN,ABDOMEN,1439.616468629504,182625
MRI_CCS_11,ABDOMEN,ABDOMEN,1151.8911807725303,182625
MRI_CCS_11,ABDOMEN,ABDOMEN,645.4099782315255,182625
MRI_CCS_11,ABDOMEN,ABDOMEN,2551.540953283961,182625
MRI_FRR_3,ABDOMEN,ABDOMEN,248.1919278092172,182625
MRI_FRR_3,ABDOMEN,ABDOMEN,2034.290090929048,182625
MRI_FRR_3,ABDOMEN,ABDOMEN,417.7042324632306,182625
MRI_FRR_3,ABDOMEN,ABDOMEN,1432.0696191172872,182625
MRI_FRR_3,ABDOMEN,ABDOMEN,503.9356703797937,182625
MRI_FRR_34,ABDOMEN,ABDOMEN,2633.074704881169,182625
MRI_MSR_100,ABDOMEN,ABDOMEN,2613.7550065127784,182625
MRI_MSR_104,ABDOMEN,ABDOMEN,1331.214412269411,182625
MRI_MSR_21,ABDOMEN,ABDOMEN,387.53835482779454,182625
MRI_FRR_257,ABDOMEN,ABDOMEN,244.33539371152185,182625
MRI_FRR_264,ABDOMEN,ABDOMEN,1668.5356565251782,182625
MRI_FRR_3,ABDOMEN,ABDOMEN,2343.6357059621623,182625
MRI_CCS_11,ABDOMEN,ABDOMEN,646.9071078134748,182625
MRI_FRR_3,ABDOMEN,ABDOMEN,1195.731561939493,182625
MRI_CCS_11,ABDOMEN,ABDOMEN,1479.2438280348117,182625
MRI_CCS_11,ABDOMEN,ABDOMEN,2234.238404929268,182625
MRI_CCS_11,ABDOMEN,ABDOMEN,1314.6419466258028,182625
MRI_CCS_11,ABDOMEN,ABDOMEN,764.4470354112668,182625
MRI_MSR_100,ABDOMEN,ABDOMEN,906.9825461835818,182625
MRI_MSR_104,ABDOMEN,ABDOMEN,155.94302165432995,182625
MRI_MSR_21,ABDOMEN,ABDOMEN,674.3471430051824,182625
MRI_FRR_257,ABDOMEN,ABDOMEN,1398.1739574834276,182625
MRI_FRR_264,ABDOMEN,ABDOMEN,336.05740483428315,182625
MRI_FRR_3,ABDOMEN,ABDOMEN,1315.5621803489132,182625
MRI_CCS_11,ABDOMEN,ABDOMEN,514.4587820413986,182625
